#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Karl-Anthony Towns,MIN,21.00,33.80,20.80,7.30,14.40,0.51,1.80,5.60,0.33,4.40,5.00,0.89,1.70,6.50,8.20,5.30,0.80,0.70,3.10,3.90
2,Kelly Olynyk,UTA,48.00,28.20,12.10,4.10,8.20,0.50,1.50,3.60,0.41,2.50,3.00,0.85,1.30,4.10,5.30,3.30,1.00,0.60,2.20,3.80
3,Domantas Sabonis,SAC,55.00,34.60,18.80,7.10,11.60,0.61,0.40,1.20,0.35,4.20,5.50,0.76,3.00,9.30,12.30,6.90,0.80,0.50,2.90,3.70
4,Jusuf Nurkic,POR,45.00,27.30,13.80,5.20,9.80,0.52,0.90,2.20,0.39,2.60,3.80,0.69,2.30,7.20,9.40,2.90,0.90,0.90,2.40,3.60
5,Jaden McDaniels,MIN,58.00,30.50,11.40,4.40,8.60,0.52,1.20,3.20,0.39,1.30,1.70,0.74,1.30,2.60,3.90,2.00,0.90,1.00,1.40,3.50
6,LaMelo Ball,CHA,33.00,35.40,23.30,8.30,20.30,0.41,3.90,10.60,0.37,2.90,3.40,0.86,1.20,5.10,6.30,8.40,1.30,0.30,3.50,3.40
7,Alperen Sengun,HOU,53.00,28.30,15.10,5.90,10.50,0.56,0.20,0.70,0.32,3.10,4.10,0.75,3.20,5.60,8.80,3.70,0.80,1.00,2.50,3.40
8,Aaron Nesmith,IND,53.00,24.50,9.80,3.40,8.00,0.42,1.50,4.30,0.36,1.60,1.80,0.87,0.80,2.90,3.80,1.20,0.80,0.40,0.90,3.40
9,Pascal Siakam,TOR,49.00,37.70,25.20,9.10,18.80,0.48,1.40,4.10,0.34,5.70,7.50,0.77,1.90,5.90,7.80,6.10,0.80,0.60,2.60,3.40
10,Dillon Brooks,MEM,52.00,30.50,14.80,5.60,14.30,0.39,1.80,5.80,0.31,1.80,2.30,0.79,0.60,2.70,3.30,2.60,0.80,0.20,1.50,3.40
11,Giannis Antetokounmpo,MIL,47.00,33.10,31.80,11.30,21.00,0.54,0.80,3.00,0.27,8.40,13.00,0.65,2.30,9.90,12.20,5.40,0.80,0.80,4.00,3.40
12,"Jaren Jackson, Jr,",MEM,40.00,27.20,16.90,6.10,12.10,0.50,1.60,4.40,0.36,3.30,4.20,0.78,1.70,5.00,6.70,0.90,1.10,3.30,1.60,3.40
13,Ben Simmons,BRK,42.00,26.30,6.90,3.20,5.60,0.57,0.00,0.00,0.00,0.60,1.40,0.44,1.00,5.30,6.30,6.10,1.30,0.60,2.30,3.30
14,Myles Turner,IND,50.00,29.80,17.50,6.20,11.70,0.54,1.60,4.10,0.38,3.50,4.50,0.79,1.60,6.40,8.00,1.30,0.60,2.30,1.60,3.30
15,John Collins,ATL,50.00,31.10,13.20,5.20,10.20,0.51,0.80,3.20,0.25,2.10,2.60,0.81,1.10,6.00,7.10,1.20,0.70,1.20,1.20,3.30
16,Luguentz Dort,OKC,50.00,29.90,14.00,4.80,11.60,0.41,1.90,5.30,0.36,2.60,3.40,0.76,1.40,2.80,4.10,2.20,1.00,0.30,1.30,3.30
17,Herb Jones,NOP,43.00,28.80,9.70,3.40,7.70,0.44,0.70,2.60,0.28,2.10,2.80,0.75,1.40,2.40,3.80,2.20,1.70,0.70,1.30,3.30
18,Jae'sean Tate,HOU,20.00,21.00,7.70,3.10,6.80,0.45,0.40,1.30,0.31,1.20,1.90,0.65,1.60,2.30,3.90,2.60,0.60,0.20,1.70,3.30
19,Onyeka Okongwu,ATL,57.00,23.90,9.30,3.90,6.20,0.63,0.00,0.10,0.20,1.50,2.00,0.74,2.70,4.60,7.30,1.00,0.70,1.30,1.00,3.20
20,Joel Embiid,PHI,45.00,34.90,33.10,11.00,20.50,0.54,1.10,3.10,0.36,9.90,11.60,0.86,1.80,8.40,10.20,4.10,1.20,1.50,3.50,3.20
21,Zach Collins,SAS,48.00,21.20,10.00,3.90,7.20,0.54,0.60,1.70,0.36,1.60,2.20,0.74,1.80,4.10,5.90,2.60,0.40,0.60,1.90,3.20
22,Jaden Ivey,DET,55.00,30.10,15.20,5.20,12.30,0.42,1.40,4.20,0.33,3.50,4.80,0.73,1.00,2.90,3.90,4.60,0.90,0.20,2.80,3.10
23,Royce O'Neale,BRK,55.00,33.40,9.20,3.20,8.00,0.40,2.20,5.60,0.40,0.60,0.80,0.73,0.70,4.10,4.70,3.90,0.80,0.70,1.60,3.10
24,Kristaps Porzingis,WAS,50.00,32.50,22.80,7.40,15.30,0.49,2.00,5.40,0.37,5.90,7.00,0.84,1.90,6.70,8.60,2.50,0.90,1.50,2.20,3.10
25,Jonas Valanciunas,NOP,58.00,24.70,14.40,5.70,10.50,0.54,0.50,1.60,0.34,2.40,2.90,0.83,2.90,6.90,9.70,1.70,0.30,0.50,1.90,3.10
26,Justise Winslow,POR,29.00,26.80,6.80,2.80,6.80,0.41,0.50,1.60,0.31,0.70,1.00,0.71,1.70,3.30,5.00,3.40,1.00,0.40,1.50,3.10
27,Julius Randle,NYK,60.00,35.90,24.80,8.40,18.20,0.46,2.70,8.00,0.34,5.30,7.00,0.76,2.20,8.60,10.80,4.10,0.70,0.30,2.80,3.10
28,Draymond Green,GSW,52.00,31.70,8.20,3.20,6.20,0.52,0.60,1.80,0.33,1.10,1.50,0.70,0.80,6.50,7.30,6.90,1.00,0.80,2.60,3.00
29,De'Andre Hunter,ATL,49.00,32.00,15.90,5.70,12.40,0.46,1.60,4.40,0.36,2.90,3.50,0.83,0.70,3.70,4.40,1.40,0.60,0.20,1.20,3.00
30,"Kelly Oubre, Jr,",CHA,35.00,32.60,20.20,7.50,17.80,0.42,2.30,7.40,0.31,2.90,4.00,0.71,1.50,3.60,5.10,1.20,1.60,0.40,1.30,3.00
31,"Jabari Smith, Jr,",HOU,55.00,29.90,12.00,4.20,10.80,0.39,1.60,5.30,0.30,2.00,2.50,0.79,1.30,5.70,7.00,1.20,0.50,1.00,1.50,3.00
32,Killian Hayes,DET,55.00,26.70,9.50,3.80,10.20,0.37,1.20,3.90,0.31,0.80,1.00,0.79,0.30,2.40,2.70,5.80,1.30,0.30,2.00,3.00
33,Rudy Gobert,MIN,50.00,30.50,13.30,5.10,7.50,0.68,0.00,0.10,0.00,3.10,4.70,0.67,3.20,8.40,11.60,0.90,0.80,1.30,1.80,3.00
34,OG Anunoby,TOR,45.00,35.80,16.90,6.30,13.70,0.46,1.90,5.20,0.37,2.40,3.00,0.82,1.50,4.00,5.50,2.00,2.10,0.80,2.20,3.00
35,Ivica Zubac,LAC,59.00,29.40,10.20,4.00,6.50,0.62,0.00,0.00,0.00,2.20,3.10,0.70,3.30,6.80,10.10,1.10,0.40,1.30,1.70,2.90
36,"Wendell Carter, Jr,",ORL,39.00,30.10,15.40,5.70,10.70,0.53,1.30,3.50,0.37,2.70,3.60,0.75,2.00,6.50,8.50,2.60,0.40,0.60,2.20,2.90
37,Mitchell Robinson,NYK,38.00,26.90,7.20,3.10,4.60,0.67,0.00,0.00,0.00,1.00,2.00,0.51,4.30,4.60,8.90,1.00,0.90,1.80,0.50,2.90
38,Deni Avdija,WAS,56.00,26.30,9.10,3.30,7.50,0.43,0.90,3.00,0.29,1.70,2.20,0.75,1.10,5.20,6.30,2.50,0.90,0.50,1.40,2.90
39,Andrew Wiggins,GSW,37.00,32.20,17.10,6.80,14.30,0.47,2.40,6.10,0.40,1.20,1.90,0.61,1.60,3.40,5.00,2.30,1.20,0.80,1.30,2.90
40,Dwight Powell,DAL,55.00,19.70,6.80,2.60,3.50,0.73,0.00,0.10,0.00,1.70,2.40,0.71,2.00,2.20,4.30,0.80,0.60,0.40,0.90,2.90
41,Devin Booker,PHX,33.00,33.90,26.60,9.50,20.10,0.48,2.20,6.20,0.36,5.30,6.20,0.85,0.70,3.80,4.50,5.50,0.90,0.40,2.50,2.90
42,Mason Plumlee,LAC,58.00,28.10,12.10,4.60,6.90,0.67,0.00,0.00,0.00,2.80,4.50,0.62,3.30,6.30,9.50,3.60,0.60,0.60,1.50,2.90
43,Fred VanVleet,TOR,50.00,36.90,19.70,6.40,16.30,0.39,3.00,8.70,0.34,3.80,4.30,0.89,0.50,3.80,4.30,6.60,1.60,0.60,1.90,2.90
44,Evan Mobley,CLE,59.00,34.20,15.70,6.50,11.70,0.55,0.20,1.20,0.19,2.60,3.70,0.69,2.40,6.50,8.90,2.70,0.80,1.40,2.00,2.80
45,Cade Cunningham,DET,12.00,33.40,19.90,7.80,18.70,0.42,1.40,5.10,0.28,3.00,3.60,0.84,1.00,5.20,6.20,6.00,0.80,0.60,3.30,2.80
46,Bam Adebayo,MIA,54.00,35.40,21.60,8.50,15.70,0.54,0.00,0.20,0.09,4.50,5.60,0.81,2.70,7.30,10.00,3.30,1.20,0.80,2.50,2.80
47,Nicolas Claxton,BRK,54.00,29.50,12.80,5.60,7.70,0.72,0.00,0.00,0.00,1.70,3.30,0.51,2.50,6.50,9.00,1.60,0.70,2.60,1.30,2.80
48,Jalen McDaniels,PHI,59.00,26.30,10.40,3.90,8.60,0.45,1.10,3.50,0.33,1.50,1.80,0.85,0.80,4.00,4.80,1.90,1.10,0.50,1.40,2.80
49,Kevon Looney,GSW,58.00,23.30,6.80,2.90,4.40,0.66,0.00,0.00,0.00,1.10,1.80,0.62,3.00,5.80,8.80,2.60,0.60,0.60,0.50,2.80
50,Deandre Ayton,PHX,51.00,30.20,18.70,8.20,13.70,0.59,0.10,0.50,0.30,2.30,3.10,0.74,2.80,7.30,10.10,2.00,0.60,0.70,1.90,2.80
51,Patrick Beverley,LAL,45.00,26.90,6.40,2.20,5.40,0.40,1.20,3.50,0.35,0.90,1.10,0.78,0.50,2.60,3.10,2.60,0.90,0.60,0.90,2.80
52,Kyrie Irving,DAL,44.00,37.10,27.20,10.00,20.30,0.49,3.30,8.70,0.38,4.00,4.50,0.89,1.00,4.10,5.10,5.40,1.00,0.80,2.30,2.80
53,Kyle Lowry,MIA,44.00,33.30,12.00,3.80,9.70,0.40,2.00,6.10,0.33,2.30,2.70,0.86,0.90,3.50,4.30,5.30,1.10,0.40,2.00,2.80
54,Anthony Davis,LAL,35.00,33.40,26.00,9.80,17.50,0.56,0.40,1.50,0.25,6.00,7.30,0.82,3.30,9.10,12.30,2.50,1.20,2.00,2.10,2.70
55,Moe Wagner,ORL,38.00,21.00,11.20,3.60,7.40,0.49,1.00,3.20,0.32,2.90,3.40,0.87,1.40,3.30,4.70,1.70,0.80,0.20,1.20,2.70
56,Jakob Poeltl,TOR,49.00,26.10,12.20,5.30,8.40,0.63,0.00,0.00,0.00,1.60,2.80,0.59,3.30,5.60,8.90,3.00,0.80,1.20,2.10,2.70
57,Paul George,LAC,44.00,34.20,23.30,8.10,17.60,0.46,3.00,7.70,0.38,4.10,4.70,0.87,0.70,5.40,6.10,5.30,1.50,0.30,3.30,2.70
58,"Kevin Porter, Jr,",HOU,40.00,34.00,19.20,6.70,15.40,0.44,2.20,6.40,0.35,3.50,4.60,0.77,1.40,4.10,5.50,5.60,1.30,0.40,3.60,2.70
59,DeMar DeRozan,CHI,53.00,36.30,25.40,9.10,18.00,0.51,0.50,1.60,0.32,6.60,7.50,0.88,0.40,4.20,4.70,5.10,1.00,0.50,2.20,2.70
60,Jordan Poole,GSW,58.00,30.70,20.90,7.10,16.20,0.44,2.70,8.00,0.34,4.00,4.70,0.86,0.40,2.40,2.80,4.50,0.80,0.20,3.30,2.70
61,Shai Gilgeous-Alexander,OKC,53.00,35.40,30.80,10.20,20.10,0.51,0.90,2.60,0.34,9.50,10.50,0.91,0.90,3.80,4.70,5.70,1.60,1.10,2.90,2.70
62,Christian Wood,DAL,48.00,27.70,17.80,6.40,12.20,0.53,1.80,4.60,0.38,3.10,4.10,0.76,1.40,6.60,8.00,1.80,0.50,1.20,1.90,2.70
63,Luka Doncic,DAL,50.00,36.50,33.30,11.20,22.20,0.51,2.70,7.80,0.35,8.10,11.10,0.73,0.90,7.90,8.80,8.10,1.50,0.50,3.70,2.70
64,Jaylen Brown,BOS,48.00,35.60,26.50,9.90,20.20,0.49,2.50,7.60,0.33,4.30,5.50,0.78,1.20,5.80,7.00,3.20,1.10,0.50,3.00,2.70
65,Jalen Duren,DET,51.00,25.10,8.60,3.60,5.60,0.65,0.00,0.00,0.00,1.40,2.20,0.61,3.30,5.40,8.70,1.10,0.60,0.90,1.20,2.70
66,Isaiah Stewart II,DET,48.00,28.50,11.50,4.00,9.00,0.44,1.30,4.10,0.32,2.20,3.00,0.73,2.30,5.70,8.00,1.40,0.40,0.70,1.40,2.70
67,Josh Hart,NYK,54.00,33.00,10.00,3.70,7.30,0.51,0.80,2.30,0.34,1.70,2.40,0.73,1.90,6.20,8.00,3.90,1.10,0.20,1.50,2.60
68,Andrew Nembhard,IND,53.00,27.10,8.10,3.20,7.60,0.42,1.20,3.50,0.34,0.50,0.60,0.87,0.50,2.30,2.80,4.20,1.00,0.20,1.70,2.60
69,Nikola Jokic,DEN,51.00,33.60,24.70,9.40,14.90,0.63,0.80,2.20,0.39,5.10,6.20,0.82,2.10,9.40,11.50,10.10,1.30,0.70,3.50,2.60
70,"P,J, Washington",CHA,59.00,32.90,15.20,5.70,12.90,0.44,2.00,5.80,0.35,1.70,2.30,0.75,1.00,3.70,4.70,2.40,0.90,1.10,1.40,2.60
71,Josh Green,DAL,40.00,24.90,9.20,3.30,6.10,0.55,1.20,2.80,0.41,1.50,2.10,0.72,0.90,1.80,2.70,1.60,0.90,0.10,1.00,2.60
72,Marcus Smart,BOS,42.00,32.40,11.10,4.00,9.40,0.43,1.80,5.30,0.33,1.30,1.70,0.77,0.70,2.80,3.50,7.10,1.40,0.40,2.40,2.60
73,"R,J, Barrett",NYK,53.00,34.50,19.70,7.00,16.30,0.43,1.80,5.50,0.32,4.00,5.40,0.75,0.90,4.30,5.20,2.80,0.50,0.20,2.20,2.60
74,Grant Williams,BOS,58.00,27.90,8.70,2.90,6.30,0.46,1.50,3.70,0.41,1.30,1.60,0.83,1.10,3.70,4.80,1.80,0.60,0.40,1.10,2.60
75,Quentin Grimes,NYK,49.00,30.20,10.10,3.60,8.00,0.45,1.80,5.20,0.35,1.10,1.40,0.80,0.80,2.60,3.40,1.90,0.70,0.40,1.00,2.60
76,Jalen Williams,OKC,53.00,29.00,12.20,4.90,9.60,0.51,0.90,2.70,0.32,1.50,2.00,0.76,0.90,3.20,4.10,2.90,1.20,0.50,1.60,2.50
77,Brook Lopez,MIL,57.00,30.30,14.50,5.50,10.90,0.51,1.80,4.90,0.37,1.60,2.10,0.77,1.90,4.60,6.50,1.20,0.50,2.40,1.40,2.50
78,Ayo Dosunmu,CHI,57.00,28.40,9.50,3.90,7.70,0.50,0.80,2.50,0.32,0.90,1.20,0.81,0.70,2.40,3.10,2.80,0.70,0.40,1.40,2.50
79,Jeremy Sochan,SAS,48.00,25.90,10.00,4.10,9.10,0.45,0.60,2.20,0.26,1.30,1.80,0.69,1.70,3.20,4.90,2.50,0.80,0.50,1.70,2.50
80,Brandon Ingram,NOP,24.00,32.20,22.40,8.10,17.30,0.47,1.50,3.80,0.41,4.70,5.40,0.88,0.50,4.50,5.00,4.90,0.80,0.50,3.30,2.50
81,Anthony Edwards,MIN,61.00,36.20,24.90,9.00,19.40,0.46,2.70,7.30,0.36,4.30,5.50,0.78,0.60,5.30,5.90,4.50,1.60,0.60,3.40,2.50
82,Isaiah Hartenstein,NYK,60.00,19.70,5.20,2.20,4.30,0.52,0.10,0.60,0.24,0.70,0.90,0.76,2.80,3.80,6.60,0.90,0.60,0.80,0.80,2.50
83,Jarred Vanderbilt,LAL,55.00,24.00,8.30,3.30,5.90,0.56,0.30,1.00,0.33,1.30,1.90,0.67,2.30,5.50,7.80,2.70,1.00,0.30,1.30,2.50
84,Kevin Huerter,SAC,54.00,30.50,14.90,5.50,11.40,0.48,2.60,6.80,0.39,1.30,1.90,0.70,0.60,2.80,3.40,2.90,1.10,0.30,1.40,2.50
85,Gabe Vincent,MIA,45.00,26.30,10.00,3.50,8.70,0.40,1.80,5.40,0.33,1.30,1.40,0.88,0.40,1.90,2.30,2.60,0.90,0.10,1.50,2.50
86,Alex Caruso,CHI,49.00,24.30,5.50,1.90,4.20,0.44,0.80,2.10,0.38,0.90,1.20,0.79,0.60,2.50,3.10,3.20,1.70,0.70,1.30,2.50
87,De'Anthony Melton,PHI,54.00,28.50,10.70,3.80,9.00,0.43,2.20,5.40,0.40,0.80,1.10,0.79,1.00,3.20,4.20,2.70,1.70,0.50,1.40,2.50
88,De'Aaron Fox,SAC,52.00,34.00,24.80,9.20,18.20,0.51,1.50,4.70,0.33,4.80,6.10,0.80,0.50,3.80,4.30,6.20,1.10,0.30,2.70,2.50
89,Cole Anthony,ORL,39.00,25.00,12.00,4.20,9.50,0.44,1.10,3.30,0.33,2.50,2.90,0.88,0.60,4.00,4.60,4.10,0.60,0.60,1.50,2.50
90,Desmond Bane,MEM,35.00,31.20,21.50,7.50,16.10,0.47,3.00,7.10,0.43,3.40,3.80,0.90,0.70,4.20,4.90,4.20,1.00,0.40,2.20,2.50
91,Christian Koloko,TOR,45.00,14.60,3.50,1.40,2.80,0.49,0.00,0.20,0.11,0.80,1.20,0.66,1.60,1.70,3.20,0.50,0.30,1.10,0.40,2.40
92,"P,J, Tucker",PHI,55.00,25.70,3.40,1.20,2.90,0.43,0.70,1.70,0.40,0.30,0.30,0.89,1.30,2.60,3.90,0.80,0.50,0.20,0.70,2.40
93,Naz Reid,MIN,53.00,17.70,10.20,4.10,7.70,0.53,1.00,2.90,0.33,1.10,1.60,0.68,1.10,3.60,4.70,1.00,0.50,0.80,1.30,2.40
94,Joe Harris,BRK,51.00,23.80,8.60,3.10,6.70,0.46,2.00,4.80,0.42,0.30,0.50,0.63,0.40,2.30,2.60,1.60,0.50,0.30,0.60,2.40
95,Victor Oladipo,MIA,26.00,28.40,11.20,4.00,10.00,0.40,1.40,4.80,0.30,1.70,2.20,0.75,0.50,3.00,3.50,3.90,1.70,0.20,1.80,2.40
96,Jerami Grant,POR,54.00,35.70,20.80,7.10,14.60,0.48,2.30,5.60,0.41,4.30,5.30,0.81,0.90,3.50,4.30,2.30,0.80,0.80,1.80,2.40
97,Brandon Clarke,MEM,51.00,20.00,10.50,4.30,6.50,0.66,0.00,0.10,0.17,1.90,2.60,0.72,1.60,4.00,5.60,1.30,0.60,0.70,1.00,2.40
98,"Bruce Brown, Jr,",DEN,58.00,28.80,11.30,4.40,9.00,0.49,1.30,3.50,0.39,1.10,1.50,0.72,0.70,3.20,3.80,3.70,1.10,0.60,1.70,2.40
99,Taurean Prince,MIN,37.00,21.30,8.50,3.20,6.40,0.50,1.40,3.40,0.40,0.80,1.00,0.83,0.30,2.10,2.40,1.60,0.50,0.40,1.20,2.40
100,Anfernee Simons,POR,56.00,35.50,21.40,7.60,16.90,0.45,3.50,9.20,0.38,2.60,2.90,0.91,0.30,2.40,2.70,4.20,0.70,0.20,2.20,2.40
101,Marcus Morris,LAC,53.00,28.70,12.30,4.60,10.70,0.43,2.00,5.20,0.38,1.20,1.50,0.78,0.50,3.80,4.20,1.80,0.60,0.40,0.80,2.20
102,Naz Reid,MIN,53.00,17.70,10.20,4.10,7.70,0.53,1.00,2.90,0.33,1.10,1.60,0.68,1.10,3.60,4.70,1.00,0.50,0.80,1.30,2.40
103,Shake Milton,PHI,53.00,21.50,9.20,3.50,7.10,0.50,0.80,2.00,0.39,1.40,1.70,0.85,0.50,2.20,2.70,3.00,0.30,0.20,1.40,1.60
104,Andrew Nembhard,IND,53.00,27.10,8.10,3.20,7.60,0.42,1.20,3.50,0.34,0.50,0.60,0.87,0.50,2.30,2.80,4.20,1.00,0.20,1.70,2.60
105,"Troy Brown, Jr,",LAL,53.00,24.10,7.10,2.70,6.10,0.44,1.30,3.50,0.36,0.50,0.50,0.96,0.90,3.40,4.30,1.10,0.70,0.20,0.70,1.50
106,Aaron Nesmith,IND,53.00,24.50,9.80,3.40,8.00,0.42,1.50,4.30,0.36,1.60,1.80,0.87,0.80,2.90,3.80,1.20,0.80,0.40,0.90,3.40
107,Trae Young,ATL,52.00,35.40,26.70,8.40,19.70,0.43,2.20,6.70,0.32,7.70,8.70,0.89,0.70,2.20,2.90,10.30,1.00,0.20,4.10,1.50
108,De'Aaron Fox,SAC,52.00,34.00,24.80,9.20,18.20,0.51,1.50,4.70,0.33,4.80,6.10,0.80,0.50,3.80,4.30,6.20,1.10,0.30,2.70,2.50
109,Josh Giddey,OKC,52.00,30.80,16.30,7.00,14.40,0.49,0.90,3.00,0.32,1.30,1.60,0.79,1.90,5.80,7.80,5.90,0.80,0.50,3.00,2.10
110,"C,J, McCollum",NOP,52.00,35.00,21.10,7.90,18.20,0.44,2.80,7.40,0.39,2.50,3.10,0.80,0.80,3.60,4.30,5.90,1.00,0.60,2.60,1.90
111,Draymond Green,GSW,52.00,31.70,8.20,3.20,6.20,0.52,0.60,1.80,0.33,1.10,1.50,0.70,0.80,6.50,7.30,6.90,1.00,0.80,2.60,3.00
112,Russell Westbrook,LAL,52.00,28.70,15.90,5.80,14.00,0.42,1.20,4.10,0.30,3.00,4.60,0.66,1.10,5.00,6.20,7.50,1.00,0.40,3.50,2.30
113,Paolo Banchero,ORL,52.00,33.70,19.90,6.50,15.50,0.42,1.20,4.20,0.28,5.70,7.60,0.75,1.20,5.50,6.60,3.60,0.90,0.50,2.70,2.30
114,Tre Jones,SAS,52.00,29.30,12.80,4.90,11.30,0.44,0.70,2.50,0.27,2.20,2.50,0.89,0.80,2.80,3.60,6.30,1.30,0.20,1.80,1.40
115,Keldon Johnson,SAS,52.00,32.60,21.80,7.80,17.40,0.44,2.20,6.60,0.33,4.20,5.40,0.78,0.90,3.90,4.70,2.70,0.70,0.20,2.10,1.90
116,Reggie Jackson,LAC,52.00,25.70,10.90,4.10,9.80,0.42,1.50,4.20,0.35,1.20,1.30,0.92,0.40,1.80,2.20,3.50,0.70,0.10,1.80,1.80
117,Dillon Brooks,MEM,52.00,30.50,14.80,5.60,14.30,0.39,1.80,5.80,0.31,1.80,2.30,0.79,0.60,2.70,3.30,2.60,0.80,0.20,1.50,3.40
118,Nikola Jokic,DEN,51.00,33.60,24.70,9.40,14.90,0.63,0.80,2.20,0.39,5.10,6.20,0.82,2.10,9.40,11.50,10.10,1.30,0.70,3.50,2.60
119,Deandre Ayton,PHX,51.00,30.20,18.70,8.20,13.70,0.59,0.10,0.50,0.30,2.30,3.10,0.74,2.80,7.30,10.10,2.00,0.60,0.70,1.90,2.80
120,Darius Garland,CLE,51.00,35.20,21.70,7.50,16.10,0.47,2.50,6.10,0.42,4.20,4.80,0.86,0.40,2.30,2.70,8.00,1.30,0.10,3.00,2.20
121,Jalen Duren,DET,51.00,25.10,8.60,3.60,5.60,0.65,0.00,0.00,0.00,1.40,2.20,0.61,3.30,5.40,8.70,1.10,0.60,0.90,1.20,2.70
122,Brandon Clarke,MEM,51.00,20.00,10.50,4.30,6.50,0.66,0.00,0.10,0.17,1.90,2.60,0.72,1.60,4.00,5.60,1.30,0.60,0.70,1.00,2.40
